comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback,like,coin,collect,share,rank
294,21,463565,http://i0.hdslb.com/bfs/archive/252b802d8b813519f8197326bf3e6ea8233c2528.jpg,,-,1,乔治理发刮胡子,0,刘庸干净又卫生,533459953,1619591553,01:55,352,502833236,BV15N411f7Ya,False,0,0,0,0,1.3万,1194,1108,194,
5457,212,2746342,http://i2.hdslb.com/bfs/archive/fb0c5c83e120e0d013ec3d50777b308d5873f768.jpg,,-,1,逛逛印度小卖店,0,刘庸干净又卫生,533459953,1648906804,02:16,5886,212750073,BV1ga41147zh,False,0,0,0,0,24.1万,1.8万,6656,3019,全站排行榜最高第11名
4140,215,2350919,http://i0.hdslb.com/bfs/archive/3ec90769d7704f934160c76f25197f409b37877b.jpg,,-,1,吃早餐，出门健身，干净又健康！,0,刘庸干净又卫生,533459953,1635910210,03:44,5728,633981970,BV1Kb4y1872W,False,0,0,0,0,12.5万,2.9万,3320,1337,全站排行榜最高第47名
3021,21,1847181,http://i0.hdslb.com/bfs/archive/cbe2265111ad0a53f5a7e2df3705cf2917453b08.jpg,,-,1,女老师生日那天，她父母来了做了很多好吃的菜。,0,刘庸干净又卫生,533459953,1634112263,01:33,1916,633524592,BV1gb4y1Y7EL,False,0,0,0,0,8.2万,4698,2561,1196,
9371,212,10029294,http://i1.hdslb.com/bfs/archive/c7cb860f1abe292721f8ab3a5aeb2f8204b43d01.jpg,,-,1,刘庸继芦荟汁后又一重磅力作，水果捞！,0,刘庸干净又卫生,533459953,1630646361,02:03,33730,632763164,BV15b4y1U7kV,False,0,0,0,0,27.7万,4.0万,2.0万,10.6万,全站排行榜最高第70名
933,212,764509,http://i0.hdslb.com/bfs/archive/fad8ad6bb7ee287fbd69c4ec44329926fd18cb69.jpg,,-,1,地瓜拌杨桃。你吃过吗？,0,刘庸干净又卫生,533459953,1625744866,00:57,883,504087207,BV1Zg411u7e4,False,0,0,0,0,2.6万,1128,714,955,
2285,212,3115518,http://i1.hdslb.com/bfs/archive/618cd44728ea2340676edc8840ee29f19f2fab65.jpg,,-,1,印度街头脆球饼，干净又卫生！,0,刘庸干净又卫生,533459953,1624100519,00:47,2028,248717352,BV1jv411W79X,False,0,0,0,0,5.4万,3368,3018,1.1万,
458,212,968418,http://i2.hdslb.com/bfs/archive/ef9800bd6f95b3c08716f9e1133bb8321bc5db15.jpg,,-,1,解暑利器甘蔗汁,0,刘庸干净又卫生,533459953,1619359737,01:09,628,205299494,BV1uh411m7CB,False,0,0,0,0,2.8万,1017,877,913,
11874,212,3743563,http://i2.hdslb.com/bfs/archive/58be811e26ef901951114edc7671fc30565c2e6d.jpg,,-,1,体验正宗印式快餐厅,0,刘庸干净又卫生,533459953,1648702625,04:42,29928,725137152,BV19S4y127Nc,False,0,0,0,0,32.6万,2.8万,1.2万,1.5万,全站排行榜最高第6名
4766,212,3852133,http://i2.hdslb.com/bfs/archive/3f657f62362037b369796400c253d23aa381bcff.jpg,,-,1,出门吃个简易早餐，经济又实惠，干净又卫生！,0,刘庸干净又卫生,533459953,1635823818,03:29,9329,721447063,BV16S4y1R7Vd,False,0,0,0,0,,,,,
5013,212,3741179,http://i2.hdslb.com/bfs/archive/d8aea7dcc9dc6936cbd9c4f403b36371d4f54cef.jpg,,-,1,我叔从乡下回来了，我内心十分激动。,0,刘庸干净又卫生,533459953,1634013345,01:13,4032,421064004,BV1n3411C7eH,False,0,0,0,0,20.0万,1.6万,6861,3377,全站排行榜最高第29名
2367,212,3794782,http://i2.hdslb.com/bfs/archive/e94fc9448afb836d0958b10f44af52f9cf30cbdd.jpg,,-,1,来一个街头酸奶，非常醇厚，特别好喝。,0,刘庸干净又卫生,533459953,1630586348,00:59,5235,547766737,BV1Jq4y1T73r,False,0,0,0,0,11.6万,5097,3004,2481,
1006,212,1527657,http://i0.hdslb.com/bfs/archive/c3e7323eeb73edfe46f1cc0cc1e80401517ef70d.jpg,,-,1,印度街头小吃黄汤子，干净又卫生！,0,刘庸干净又卫生,533459953,1625651889,00:49,1696,419022099,BV1pV411W7dG,False,0,0,0,0,4.0万,1646,1197,3264,
2435,215,1877557,http://i1.hdslb.com/bfs/archive/afd18e50f483713600320cc3f822d9fa20b789b8.jpg,,-,1,平时不出门的时候在家吃饭的样子。,0,刘庸干净又卫生,533459953,1624016296,01:19,2334,588644639,BV1hB4y1M7X5,False,0,0,0,0,4.8万,2641,1558,805,
511,21,853083,http://i2.hdslb.com/bfs/archive/40a362493c2a377b7fa0162b860523cd2bfb289f.jpg,,-,1,久违的乔治理发,0,刘庸干净又卫生,533459953,1619250826,01:42,614,587643557,BV1pB4y1A7cP,False,0,0,0,0,2.4万,3285,1625,465,
5097,212,3751161,http://i0.hdslb.com/bfs/archive/ed3b7b88d3f505e9053c20a0bc44610121c699ec.jpg,,-,1,印度医院饭菜太贵，还是得出来吃！,0,刘庸干净又卫生,533459953,1648177200,02:41,12768,297593663,BV1HF411W7Nd,False,0,0,0,0,25.5万,1.5万,7112,5748,全站排行榜最高第24名
2539,212,2421064,http://i2.hdslb.com/bfs/archive/a834dcd5e3c5835382884063bce22a24ca6483b4.jpg,,-,1,灭霸系列2:知道灭霸的手是什么意思吗？,0,刘庸干净又卫生,533459953,1635745213,00:43,1970,891490521,BV1pP4y1j7Ab,False,0,0,0,0,12.6万,4771,3564,2792,
8771,85,5234232,http://i0.hdslb.com/bfs/archive/6410a96757f7ef27b18400d797cdc2d020157e0c.jpg,,-,1,第二部5+5=9,0,刘庸干净又卫生,533459953,1633932426,01:10,5686,463509856,BV1oL41137tf,False,0,0,0,0,49.1万,7.9万,4.0万,1.6万,全站排行榜最高第5名
10325,212,5882078,http://i2.hdslb.com/bfs/archive/5d1e0809a798cf6a5bd58e4c5ea224e240a6a1f0.jpg,,-,1,你们要的芦荟汁来了，加了13味调料。制作工艺极其复杂。,0,刘庸干净又卫生,533459953,1630474128,04:48,30836,547653753,BV19q4y1K7Gg,False,0,0,0,0,22.0万,6.4万,2.2万,7.7万,全站排行榜最高第35名
931,212,901563,http://i2.hdslb.com/bfs/archive/f04d8e2540dd0fbe6b34924955fefa2de3f21b71.jpg,,-,1,印度街头不知名水果，有认识的吗？,0,刘庸干净又卫生,533459953,1625561143,00:53,1070,249006265,BV1Av411p7BP,False,0,0,0,0,2.7万,903,640,348,
2098,21,2192414,http://i2.hdslb.com/bfs/archive/e57d622eb0b29de0a354955486e851e74af3dd25.jpg,,-,1,这是第一次认识乔治的时候，不知不觉已经这么久了！,0,刘庸干净又卫生,533459953,1623922354,04:38,4337,546247865,BV1Uq4y1L7Zh,False,0,0,0,0,8.3万,4.8万,7117,5453,
850,212,2792682,http://i2.hdslb.com/bfs/archive/66fe60709b3b874214fd884d08fc5e613e4cb834.jpg,,-,1,觉得有点苦？吃点甜的就好了,0,刘庸干净又卫生,533459953,1619079517,01:22,1785,757728629,BV1w64y1U7Nb,False,0,0,0,0,7.2万,5839,2263,1146,
5077,21,4557592,http://i2.hdslb.com/bfs/archive/b5ae6859ca93bd7dbe3e308ac0796a8519a20674.jpg,,-,1,有新情况！,0,刘庸干净又卫生,533459953,1647853457,00:41,5669,852494190,BV1XL4y1j7jx,False,0,0,0,0,30.3万,2.1万,1.1万,7712,全站排行榜最高第8名
3297,212,2982328,http://i0.hdslb.com/bfs/archive/7f10e989683c7de33096780d69424316bf0a2d68.jpg,,-,1,国内美食特别节目(3)新疆肚包肉,0,刘庸干净又卫生,533459953,1635571136,00:38,2243,848864450,BV19L4y1i7MD,False,0,0,0,0,14.4万,3954,4420,3054,全站排行榜最高第88名
7571,212,4641465,http://i2.hdslb.com/bfs/archive/02ffb554afad7bf735b68242644fc8fa9c1f5e23.jpg,,-,1,回国的时候客串朋友的一个小短片，跟大家分享。,0,刘庸干净又卫生,533459953,1633843930,01:07,5438,548560776,BV1Aq4y157EA,False,0,0,0,0,37.6万,9.3万,3.4万,1.4万,全站排行榜最高第4名
1604,212,2172944,http://i0.hdslb.com/bfs/archive/a780bec18c75cd3a88620b54e60d1706d06e5063.jpg,,-,1,今天的小吃简直就是艺术品，太精彩了。送女朋友非常浪漫。,0,刘庸干净又卫生,533459953,1630409730,01:20,2927,805168196,BV1Jy4y1G7FA,False,0,0,0,0,8.0万,3990,2226,3003,
1146,212,1268932,http://i0.hdslb.com/bfs/archive/1dc135c8289c1e00733b1e86ea953806b4e9125f.jpg,,-,1,印度街头手搓花生,0,刘庸干净又卫生,533459953,1625474378,00:39,909,758971642,BV1h64y1Q7rf,False,0,0,0,0,3.6万,1260,1018,1823,
569,21,753387,http://i2.hdslb.com/bfs/archive/70a7b3f15a52e4b9a88f07aa6ef9f572a27691b8.jpg,,-,1,最近要把所有的乔治理发发完。请大家多多支持捧场。,0,刘庸干净又卫生,533459953,1623847079,02:23,1137,631135940,BV1Sb4y1d7xB,False,0,0,0,0,2.8万,5337,1669,561,
840,212,2506403,http://i2.hdslb.com/bfs/archive/a58bab7c3ad748c1e1df1b33f1ee985546955df6.jpg,,-,1,今天改善伙食，吃烤鸡,0,刘庸干净又卫生,533459953,1618761336,01:32,2576,760176034,BV1364y1i7oU,False,0,0,0,0,6.4万,2749,2177,650,
3760,21,3039240,http://i2.hdslb.com/bfs/archive/352e97b4c73357b67d2995bc33d5cb31d3dbf9f4.jpg,,-,1,出门办事，刚走没多远，就成这样了，回家洗澡。,0,刘庸干净又卫生,533459953,1647668510,01:37,5730,894987591,BV1VP4y1T7iv,False,0,0,0,0,20.8万,7669,5478,3326,全站排行榜最高第43名
3948,212,3249823,http://i2.hdslb.com/bfs/archive/663be560f04567c2cb7dbb650491f00f36fcc364.jpg,,-,1,天冷了，吃点热乎饭。出门在外就是对付。,0,刘庸干净又卫生,533459953,1635412169,01:20,3514,421316331,BV1Z3411r7QG,False,0,0,0,0,14.9万,7265,3906,2928,全站排行榜最高第78名
690,212,1889521,http://i1.hdslb.com/bfs/archive/c44e271a066eaa64af694b8b0ddbeffa951666c5.jpg,,-,1,东北雪泥,0,刘庸干净又卫生,533459953,1618672501,01:11,1823,715189123,BV1PQ4y1Z7CP,False,0,0,0,0,4.9万,1719,2075,1790,
823,212,1419764,http://i2.hdslb.com/bfs/archive/e614d75ff6ef7f89fa0c22fb2db90a764ac5e0e9.jpg,,-,1,街头卖菠萝的一对小兄妹,0,刘庸干净又卫生,533459953,1623756716,01:13,1362,291136961,BV1tf4y187jd,False,0,0,0,0,4.4万,1510,1505,515,
2668,212,2414186,http://i2.hdslb.com/bfs/archive/da7c840258d6991c5667a478885648d3f2bf2320.jpg,,-,1,市场买点大虾吃，总吃路边摊身体不健康。,0,刘庸干净又卫生,533459953,1630313477,01:11,4636,762699540,BV1c64y1Y7A2,False,0,0,0,0,7.2万,2614,1581,1083,
4222,212,3296154,http://i2.hdslb.com/bfs/archive/0b9552d8c4b17451441dd6d443ecd4876afb0377.jpg,,-,1,印度街头免费水，习惯以后，喝起来还挺方便。,0,刘庸干净又卫生,533459953,1633769248,00:36,1614,378464059,BV1sf4y1c72d,False,0,0,0,0,13.4万,5645,3692,3301,
986,212,1557036,http://i0.hdslb.com/bfs/archive/95c580edc7d6123d11081e691029c8769192cca1.jpg,,-,1,印度著名美食，街头艺术品黄汤子。,0,刘庸干净又卫生,533459953,1625394386,00:57,1556,931387773,BV1gM4y1g7AY,False,0,0,0,0,4.4万,1725,1169,1370,
